Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,latitude,longitude
Kobe Bryant,SG,24,LAL,82,82,41.5,10.6,23.5,0.451,1.5,4,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30,2002,36.77,-119.41
Vince Carter,SG,26,TOR,43,42,34.2,8.3,17.7,0.467,1,3,0.344,7.2,14.6,0.493,0.497,3,3.7,0.806,1.4,3,4.4,3.3,1.1,1,1.7,2.8,20.6,2002,43.65,-79.34
Tim Duncan,PF,26,SAS,81,81,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,2002,31,-100
Steve Francis,PG,25,HOU,81,81,41,7,16.2,0.435,1,3,0.354,6,13.2,0.453,0.468,5.9,7.3,0.8,2,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21,2002,31,-100
Kevin Garnett,PF,26,MIN,82,82,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3,10.5,13.4,6,1.4,1.6,2.8,2.4,23,2002,46.39,-94.64
Zydrunas Ilgauskas,C,27,CLE,81,81,30,6.1,13.9,0.441,0,0.1,0,6.1,13.8,0.443,0.441,4.9,6.3,0.781,3,4.6,7.5,1.6,0.7,1.9,2.6,3.4,17.2,2002,40.37,-82.99
Allen Iverson,SG,27,PHI,82,82,42.5,9.8,23.7,0.414,1,3.7,0.277,8.8,20,0.44,0.436,7,9,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,2002,41.2,-77.19
Michael Jordan,SF,39,WAS,82,67,37,8.3,18.6,0.445,0.2,0.7,0.291,8.1,18,0.45,0.45,3.2,4,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20,2002,47.75,-120.74
Jason Kidd,PG,29,NJN,80,80,37.4,6.4,15.6,0.414,1.6,4.6,0.341,4.9,10.9,0.445,0.465,4.2,5,0.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,2002,39.83,-74.87
Stephon Marbury,PG,25,PHO,81,81,40,8.3,18.9,0.439,1.1,3.7,0.301,7.2,15.2,0.472,0.468,4.6,5.8,0.803,0.7,2.6,3.2,8.1,1.3,0.2,3.2,2.5,22.3,2002,34.04,-111.09
Shawn Marion,SF,24,PHO,81,81,41.6,8.2,18.1,0.452,1.7,4.5,0.387,6.4,13.6,0.473,0.5,3.1,3.6,0.851,2.5,7.1,9.5,2.4,2.3,1.2,1.9,2.6,21.2,2002,34.04,-111.09
Jamal Mashburn,SF,30,NOH,82,81,40.5,8.2,19.3,0.422,1.5,3.7,0.389,6.7,15.6,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1,0.2,2.8,2.4,21.6,2002,30.39,-92.33
Tracy McGrady,SG,23,ORL,75,74,39.4,11.1,24.2,0.457,2.3,6,0.386,8.7,18.2,0.481,0.505,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,2002,28,-81.76
Brad Miller,C,26,IND,73,72,31.1,4.5,9.1,0.493,0.1,0.2,0.313,4.4,8.9,0.498,0.497,4,4.9,0.818,2.5,5.7,8.3,2.6,0.9,0.6,1.6,2.8,13.1,2002,40.27,-86.13
Yao Ming,C,22,HOU,82,72,29,4.9,9.8,0.498,0,0,0.5,4.9,9.8,0.498,0.499,3.7,4.5,0.811,2.4,5.8,8.2,1.7,0.4,1.8,2.1,2.8,13.5,2002,31,-100
Steve Nash,PG,28,DAL,82,82,33.1,6.3,13.6,0.465,1.4,3.3,0.413,5,10.3,0.482,0.515,3.8,4.1,0.909,0.8,2.1,2.9,7.3,1,0.1,2.3,1.6,17.7,2002,31,-100
Dirk Nowitzki,PF,24,DAL,80,80,39,8.6,18.6,0.463,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6,6.9,0.881,1,8.9,9.9,3,1.4,1,1.9,2.6,25.1,2002,31,-100
Jermaine O'Neal,PF,24,IND,77,76,37.2,7.9,16.4,0.484,0.1,0.3,0.333,7.8,16.1,0.487,0.487,4.8,6.6,0.731,2.6,7.7,10.3,2,0.9,2.3,2.3,3.6,20.8,2002,40.27,-86.13
Shaquille O'Neal,C,30,LAL,67,66,37.8,10.4,18.1,0.574,0,0,,10.4,18.1,0.574,0.574,6.7,10.8,0.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,2002,36.77,-119.41
Gary Payton,PG,34,TOT,80,80,40.1,8.3,18.3,0.454,0.7,2.3,0.297,7.6,16.1,0.476,0.472,3.1,4.4,0.71,1,3.2,4.2,8.3,1.7,0.3,2.3,2.3,20.4,2002,47.75,-120.74
Paul Pierce,SG,25,BOS,79,79,39.2,8.4,20.2,0.416,1.5,4.9,0.302,6.9,15.2,0.454,0.454,7.6,9.5,0.802,1.3,6,7.3,4.4,1.8,0.8,3.6,2.9,25.9,2002,42.41,-71.38
Peja Stojaković,SF,25,SAC,72,72,34,6.9,14.4,0.481,2.2,5.6,0.382,4.8,8.7,0.545,0.556,3.2,3.7,0.875,0.8,4.7,5.5,2,1,0.1,1.4,2,19.2,2002,36.77,-119.41
Antoine Walker,PF,26,BOS,78,78,41.5,7.7,19.9,0.388,2.4,7.5,0.323,5.3,12.5,0.427,0.449,2.3,3.7,0.615,1.3,5.9,7.2,4.8,1.5,0.4,3.3,2.8,20.1,2002,42.41,-71.38
Ben Wallace,C,28,DET,73,73,39.4,2.9,6,0.481,0,0.1,0.167,2.9,5.9,0.485,0.482,1.2,2.6,0.45,4,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9,2002,44.18,-84.51
Chris Webber,PF,29,SAC,67,67,39.1,9.9,21.4,0.461,0.1,0.3,0.238,9.8,21.1,0.465,0.463,3.2,5.3,0.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3,23,2002,36.77,-119.41
Ray Allen,SG,28,SEA,56,56,38.4,8,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23,2003,47.75,-120.74
Kobe Bryant,SG,25,LAL,65,64,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24,2003,36.77,-119.41
Vince Carter,SG,27,TOR,73,73,38.2,8.3,20,0.417,1.3,3.3,0.383,7.1,16.6,0.424,0.449,4.6,5.7,0.806,1.3,3.5,4.8,4.8,1.2,0.9,3.1,2.9,22.5,2003,43.65,-79.34
Sam Cassell,PG,34,MIN,81,81,35,7.7,15.7,0.488,0.9,2.3,0.398,6.7,13.4,0.504,0.517,3.6,4.1,0.873,0.5,2.8,3.3,7.3,1.3,0.2,2.7,3,19.8,2003,46.39,-94.64
Baron Davis,PG,24,NOH,67,66,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,2003,30.39,-92.33
Tim Duncan,PF,27,SAS,69,68,36.6,8.6,17.1,0.501,0,0.2,0.167,8.6,16.9,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,2003,31,-100
Steve Francis,PG,26,HOU,79,79,40.4,5.7,14.1,0.403,0.9,3.2,0.292,4.8,11,0.435,0.436,4.3,5.5,0.775,1.5,4,5.5,6.2,1.8,0.4,3.7,3.3,16.6,2003,31,-100
Kevin Garnett,PF,27,MIN,82,82,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3,10.9,13.9,5,1.5,2.2,2.6,2.5,24.2,2003,46.39,-94.64
Allen Iverson,SG,28,PHI,48,47,42.5,9.1,23.4,0.387,1.2,4.1,0.286,7.9,19.3,0.408,0.412,7.1,9.5,0.745,0.7,3,3.7,6.8,2.4,0.1,4.4,1.8,26.4,2003,41.2,-77.19
Jason Kidd,PG,30,NJN,67,66,36.6,5.5,14.3,0.384,1.4,4.4,0.321,4.1,9.9,0.411,0.433,3.1,3.7,0.827,1.3,5.1,6.4,9.2,1.8,0.2,3.2,1.6,15.5,2003,39.83,-74.87
Andrei Kirilenko,PF,22,UTA,78,78,37.1,5.3,11.9,0.443,0.9,2.6,0.338,4.4,9.4,0.471,0.479,5,6.4,0.79,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,2003,39.42,-111.95
Jamaal Magloire,C,25,NOH,82,82,33.9,4.7,9.9,0.473,0,0,0,4.7,9.9,0.474,0.473,4.3,5.7,0.751,3.3,7.1,10.3,1,0.5,1.2,2.5,3.4,13.6,2003,30.39,-92.33
Kenyon Martin,PF,26,NJN,65,62,34.6,6.8,13.8,0.488,0.1,0.4,0.28,6.6,13.5,0.494,0.492,3.1,4.5,0.684,2,7.4,9.5,2.5,1.5,1.3,2.6,3.5,16.7,2003,39.83,-74.87
Tracy McGrady,SG,24,ORL,67,67,39.9,9.7,23.4,0.417,2.6,7.7,0.339,7.1,15.7,0.455,0.473,5.9,7.5,0.796,1.4,4.6,6,5.5,1.4,0.6,2.7,1.9,28,2003,28,-81.76
Brad Miller,PF,27,SAC,72,53,36.4,5.2,10.2,0.51,0.2,0.5,0.316,5,9.6,0.521,0.518,3.6,4.6,0.778,2.7,7.7,10.3,4.3,0.9,1.2,2,3.4,14.1,2003,36.77,-119.41
Yao Ming,C,23,HOU,82,82,32.8,6.5,12.5,0.522,0,0,0,6.5,12.5,0.523,0.522,4.4,5.4,0.809,2.4,6.6,9,1.5,0.3,1.9,2.5,3.3,17.5,2003,31,-100
Dirk Nowitzki,C,25,DAL,77,77,37.9,7.9,17,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,2003,31,-100
Jermaine O'Neal,PF,25,IND,78,78,35.7,7.8,17.9,0.434,0,0.2,0.111,7.8,17.7,0.438,0.435,4.5,5.9,0.757,2.5,7.5,10,2.1,0.8,2.6,2.3,3.2,20.1,2003,40.27,-86.13
Shaquille O'Neal,C,31,LAL,67,67,36.8,8.3,14.1,0.584,0,0,,8.3,14.1,0.584,0.584,4.9,10.1,0.49,3.7,7.8,11.5,2.9,0.5,2.5,2.9,3.4,21.5,2003,36.77,-119.41
Paul Pierce,SG,26,BOS,80,80,38.7,7.5,18.7,0.402,1.4,4.8,0.299,6.1,13.9,0.438,0.441,6.5,7.9,0.819,0.9,5.7,6.5,5.1,1.6,0.7,3.8,2.9,23,2003,42.41,-71.38
Michael Redd,SG,24,MIL,82,82,36.8,7.7,17.5,0.44,1.5,4.4,0.35,6.2,13.1,0.47,0.484,4.7,5.4,0.868,1.4,3.5,5,2.3,1,0.1,1.4,1.9,21.7,2003,44.5,-89.5
Peja Stojaković,SF,26,SAC,81,81,40.3,8.2,17.1,0.48,3,6.8,0.433,5.2,10.3,0.511,0.566,4.9,5.2,0.927,1.1,5.1,6.3,2.1,1.3,0.2,1.9,2,24.2,2003,36.77,-119.41
Ben Wallace,C,29,DET,81,81,37.7,3.9,9.2,0.421,0,0.1,0.125,3.9,9.1,0.424,0.422,1.8,3.6,0.49,4,8.4,12.4,1.7,1.8,3,1.5,2,9.5,2003,44.18,-84.51
Metta World Peace,SF,24,IND,73,71,37.2,6.4,15.2,0.421,1,3.3,0.31,5.4,11.9,0.452,0.455,4.4,6,0.733,1.4,3.9,5.3,3.7,2.1,0.7,2.8,2.7,18.3,2003,40.27,-86.13
Ray Allen,SG,29,SEA,78,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12,0.459,0.498,4.8,5.5,0.883,1,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,2004,47.75,-120.74
Gilbert Arenas,PG,23,WAS,80,80,40.9,8.2,19,0.431,2.6,7,0.365,5.6,12,0.469,0.498,6.5,8,0.814,1,3.7,4.7,5.1,1.7,0.3,3,3.1,25.5,2004,47.75,-120.74
Kobe Bryant,SG,26,LAL,66,66,40.7,8.7,20.1,0.433,2,5.9,0.339,6.7,14.2,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6,1.3,0.8,4.1,2.6,27.6,2004,36.77,-119.41
Vince Carter,SF-SG,28,TOT,77,76,36.7,9,20,0.452,1.6,4.1,0.406,7.4,15.9,0.463,0.493,4.8,6,0.798,1.4,3.8,5.2,4.2,1.4,0.6,2.2,3.2,24.5,2004,47.75,-120.74
Tim Duncan,PF,28,SAS,66,66,33.4,7.8,15.8,0.496,0,0.1,0.333,7.8,15.7,0.498,0.498,4.6,6.9,0.67,3.1,8,11.1,2.7,0.7,2.6,1.9,2.2,20.3,2004,31,-100
Kevin Garnett,PF,28,MIN,82,82,38.1,8.3,16.6,0.502,0.1,0.3,0.24,8.3,16.3,0.507,0.504,5.4,6.7,0.811,3,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,2004,46.39,-94.64
Manu Ginóbili,SG,27,SAS,74,74,29.6,5,10.5,0.471,1.3,3.5,0.376,3.6,7.1,0.517,0.533,4.8,6,0.803,1,3.4,4.4,3.9,1.6,0.4,2.3,2.6,16,2004,31,-100
Grant Hill,SF,32,ORL,67,67,34.9,7.7,15.1,0.509,0,0.2,0.231,7.7,15,0.513,0.511,4.2,5.1,0.821,1.1,3.6,4.7,3.3,1.4,0.4,2.4,2.1,19.7,2004,28,-81.76
Zydrunas Ilgauskas,C,29,CLE,78,78,33.5,5.9,12.6,0.468,0,0.1,0.286,5.8,12.5,0.469,0.469,5.2,6.4,0.799,3.8,4.8,8.6,1.3,0.7,2.1,2.4,4,16.9,2004,40.37,-82.99
Allen Iverson,PG,29,PHI,75,75,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4,7.9,2.4,0.1,4.6,1.9,30.7,2004,41.2,-77.19
LeBron James,SF,20,CLE,80,80,42.4,9.9,21.1,0.472,1.4,3.9,0.351,8.6,17.2,0.499,0.504,6,8,0.75,1.4,6,7.4,7.2,2.2,0.7,3.3,1.8,27.2,2004,40.37,-82.99
Antawn Jamison,PF,28,WAS,68,68,38.3,7.6,17.5,0.437,1,3.1,0.341,6.6,14.4,0.457,0.466,3.3,4.4,0.76,2.4,5.3,7.6,2.3,0.8,0.2,1.7,2.2,19.6,2004,47.75,-120.74
Rashard Lewis,SF,25,SEA,71,71,38,7.5,16.2,0.462,2.4,6.1,0.4,5.1,10.1,0.499,0.537,3.1,4,0.777,1.5,3.9,5.5,1.3,1.1,0.9,1.7,2.2,20.5,2004,47.75,-120.74
Shawn Marion,PF,26,PHO,81,81,38.8,7.6,15.9,0.476,1.4,4.2,0.334,6.2,11.7,0.526,0.52,2.8,3.4,0.833,2.9,8.4,11.3,1.9,2,1.5,1.5,2.5,19.4,2004,34.04,-111.09
Tracy McGrady,SF,25,HOU,78,78,40.8,9.2,21.3,0.431,1.8,5.6,0.326,7.3,15.7,0.468,0.473,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,2004,31,-100
Yao Ming,C,24,HOU,80,80,30.6,6.7,12.2,0.552,0,0,,6.7,12.2,0.552,0.552,4.9,6.2,0.783,2.6,5.8,8.4,0.8,0.4,2,2.5,3.7,18.3,2004,31,-100
Steve Nash,PG,30,PHO,75,75,34.3,5.7,11.4,0.502,1.3,2.9,0.431,4.5,8.5,0.526,0.557,2.8,3.2,0.887,0.8,2.6,3.3,11.5,1,0.1,3.3,1.8,15.5,2004,34.04,-111.09
Dirk Nowitzki,PF,26,DAL,78,78,38.7,8.5,18.5,0.459,1.2,2.9,0.399,7.3,15.6,0.47,0.49,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,2004,31,-100
Jermaine O'Neal,PF,26,IND,44,41,34.8,8.8,19.4,0.452,0,0.1,0.167,8.8,19.3,0.454,0.453,6.7,8.9,0.754,1.9,6.9,8.8,1.9,0.6,2,3,3.9,24.3,2004,40.27,-86.13
Shaquille O'Neal,C,32,MIA,73,73,34.1,9,15,0.601,0,0,,9,15,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,2004,27.99,-81.76
Paul Pierce,SF,27,BOS,82,82,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.481,0.499,6.7,8.1,0.822,1,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6,2004,42.41,-71.38
Amar'e Stoudemire,C,22,PHO,80,80,36.1,9.3,16.7,0.559,0,0.2,0.188,9.3,16.5,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1,1.6,2.4,3.5,26,2004,34.04,-111.09
Dwyane Wade,SG,23,MIA,77,77,38.6,8.2,17.1,0.478,0.2,0.6,0.289,8,16.5,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3,24.1,2004,27.99,-81.76
Ben Wallace,C,30,DET,74,74,36.1,4,8.8,0.453,0,0.1,0.111,4,8.7,0.458,0.454,1.8,4.1,0.428,3.9,8.2,12.2,1.7,1.4,2.4,1.1,2.1,9.7,2004,44.18,-84.51
Ray Allen,SG,30,SEA,78,78,38.7,8.7,19.2,0.454,3.4,8.4,0.412,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,2005,47.75,-120.74
Gilbert Arenas,PG,24,WAS,80,80,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10,0.82,0.7,2.8,3.5,6.1,2,0.3,3.7,3.6,29.3,2005,47.75,-120.74
Chauncey Billups,PG,29,DET,81,81,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2,18.5,2005,44.18,-84.51
Chris Bosh,C,21,TOR,70,70,39.3,7.8,15.5,0.505,0,0.2,0,7.8,15.3,0.511,0.505,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3,22.5,2005,43.65,-79.34
Elton Brand,PF,26,LAC,79,79,39.2,9.6,18.2,0.527,0,0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3,7,10,2.6,1,2.5,2.2,2.9,24.7,2005,36.78,-119.42
Kobe Bryant,SG,27,LAL,80,80,41,12.2,27.2,0.45,2.3,6.5,0.347,10,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,2005,36.77,-119.41
Vince Carter,SG,29,NJN,79,79,36.8,8.3,19.2,0.43,1.6,4.6,0.341,6.7,14.6,0.459,0.471,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3,24.2,2005,39.83,-74.87
Tim Duncan,PF,29,SAS,80,80,34.8,7.2,14.8,0.484,0,0.1,0.4,7.2,14.8,0.485,0.485,4.2,6.7,0.629,2.9,8.1,11,3.2,0.9,2,2.5,2.7,18.6,2005,31,-100
Kevin Garnett,PF,29,MIN,76,76,38.9,8.2,15.7,0.526,0.1,0.4,0.267,8.1,15.3,0.532,0.529,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,2005,46.39,-94.64
Pau Gasol,PF,25,MEM,80,80,39.2,7.5,14.9,0.503,0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,2005,35.86,-86.66
Richard Hamilton,SG,27,DET,80,80,35.3,8.1,16.5,0.491,0.7,1.5,0.458,7.4,15,0.494,0.512,3.2,3.8,0.845,1.1,2.2,3.2,3.4,0.7,0.2,2.2,2.6,20.1,2005,44.18,-84.51
Allen Iverson,PG,30,PHI,72,72,43.1,11.3,25.3,0.447,1,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33,2005,41.2,-77.19
LeBron James,SF,21,CLE,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7,6.6,1.6,0.8,3.3,2.3,31.4,2005,40.37,-82.99
Shawn Marion,PF,27,PHO,81,81,40.3,8.8,16.9,0.525,1.2,3.6,0.331,7.7,13.3,0.577,0.56,3,3.7,0.809,3.1,8.8,11.8,1.8,2,1.7,1.5,2.8,21.8,2005,34.04,-111.09
Tracy McGrady,SF,26,HOU,47,47,37.1,8.7,21.5,0.406,1.6,5,0.312,7.2,16.5,0.434,0.442,5.4,7.2,0.747,1,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,2005,31,-100
Yao Ming,C,25,HOU,57,57,34.2,8.2,15.8,0.519,0,0,0,8.2,15.8,0.519,0.519,5.9,6.9,0.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,2005,31,-100
Steve Nash,PG,31,PHO,79,79,35.4,6.8,13.4,0.512,1.9,4.3,0.439,4.9,9,0.548,0.583,3.3,3.5,0.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,2005,34.04,-111.09
Dirk Nowitzki,PF,27,DAL,81,81,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16,0.496,0.515,6.7,7.4,0.901,1.4,7.6,9,2.8,0.7,1,1.9,2,26.6,2005,31,-100
Jermaine O'Neal,PF,27,IND,51,47,35.3,7.5,15.8,0.472,0.1,0.2,0.3,7.4,15.6,0.474,0.474,5.1,7.2,0.709,2,7.3,9.3,2.6,0.5,2.3,3,3.5,20.1,2005,40.27,-86.13
Shaquille O'Neal,C,33,MIA,59,58,30.6,8.1,13.6,0.6,0,0,,8.1,13.6,0.6,0.6,3.7,8,0.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20,2005,27.99,-81.76
Tony Parker,PG,23,SAS,80,80,33.9,7.8,14.2,0.548,0.1,0.5,0.306,7.7,13.8,0.556,0.553,3.2,4.5,0.707,0.5,2.8,3.3,5.8,1,0.1,3.1,2,18.9,2005,31,-100
Paul Pierce,SF,28,BOS,79,79,39,8.7,18.5,0.471,1.4,4,0.354,7.3,14.5,0.503,0.509,7.9,10.3,0.772,1,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,2005,42.41,-71.38
Dwyane Wade,SG,24,MIA,75,75,38.6,9.3,18.8,0.495,0.2,1,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,2005,27.99,-81.76
Ben Wallace,C,31,DET,82,82,35.2,2.9,5.7,0.51,0,0,0,2.9,5.6,0.514,0.51,1.5,3.6,0.416,3.7,7.6,11.3,1.9,1.8,2.2,1.1,2,7.3,2005,44.18,-84.51
Rasheed Wallace,PF,31,DET,80,80,34.8,5.7,13.3,0.43,1.9,5.4,0.357,3.8,7.9,0.48,0.503,1.7,2.3,0.743,1.1,5.7,6.8,2.3,1,1.6,1.1,2.9,15.1,2005,44.18,-84.51
Ray Allen,SG,31,SEA,55,55,40.3,9.2,21,0.438,3,8.1,0.372,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,2006,47.75,-120.74
Carmelo Anthony,SF,22,DEN,65,65,38.2,10.6,22.4,0.476,0.6,2.3,0.268,10,20.1,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6,3.8,1.2,0.4,3.6,3.1,28.9,2006,39.11,-105.36
Gilbert Arenas,PG,25,WAS,74,73,39.8,8.7,20.9,0.418,2.8,7.9,0.351,6,13,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6,1.9,0.2,3.2,3.4,28.4,2006,47.75,-120.74
Chauncey Billups,PG,30,DET,70,70,36.2,5,11.6,0.427,1.6,4.5,0.345,3.4,7.1,0.479,0.494,5.5,6.2,0.883,0.3,3.1,3.4,7.2,1.2,0.2,2,2.3,17,2006,44.18,-84.51
Carlos Boozer,PF,25,UTA,74,74,34.6,8.7,15.6,0.561,0,0,,8.7,15.6,0.561,0.561,3.4,5,0.685,3.2,8.5,11.7,3,0.9,0.3,2.6,2.9,20.9,2006,39.42,-111.95
Chris Bosh,C,22,TOR,69,69,38.5,7.9,15.9,0.496,0.2,0.5,0.343,7.7,15.3,0.501,0.502,6.7,8.6,0.785,2.7,8,10.7,2.5,0.6,1.3,2.6,2.4,22.6,2006,43.65,-79.34
Kobe Bryant,SG,28,LAL,77,77,40.8,10.6,22.8,0.463,1.8,5.2,0.344,8.8,17.6,0.497,0.502,8.7,10,0.868,1,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,2006,36.77,-119.41
Caron Butler,SF,26,WAS,63,63,39.3,7.2,15.5,0.463,0.3,1.1,0.25,6.9,14.3,0.48,0.472,4.5,5.2,0.863,2.3,5.1,7.4,3.7,2.1,0.3,2.9,3,19.1,2006,47.75,-120.74
Vince Carter,SG,30,NJN,82,82,38.1,8.9,19.5,0.454,1.9,5.3,0.357,7,14.2,0.491,0.503,5.6,7,0.802,1.4,4.6,6,4.8,1,0.4,2.6,3.2,25.2,2006,39.83,-74.87
Tim Duncan,C,30,SAS,80,80,34.1,7.7,14.1,0.546,0,0.1,0.111,7.7,14,0.55,0.547,4.5,7.1,0.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20,2006,31,-100
Kevin Garnett,PF,30,MIN,76,76,39.4,8.4,17.6,0.476,0.2,0.7,0.214,8.2,16.9,0.487,0.48,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,2006,46.39,-94.64
Richard Hamilton,SG,28,DET,75,75,36.8,7.3,15.6,0.468,0.6,1.7,0.341,6.7,13.9,0.483,0.486,4.6,5.4,0.861,1,2.8,3.8,3.8,0.8,0.2,2.1,3.1,19.8,2006,44.18,-84.51
Dwight Howard,C,21,ORL,82,82,36.9,6.4,10.6,0.603,0,0,0.5,6.4,10.6,0.603,0.603,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3,17.6,2006,28,-81.76
Josh Howard,SF,26,DAL,70,69,35.1,7,15.4,0.459,1.3,3.4,0.385,5.7,11.9,0.48,0.501,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,2006,31,-100
Allen Iverson,SG-PG,31,TOT,65,64,42.5,8.9,20.2,0.442,1,3,0.315,8,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3,7.2,1.9,0.2,4.1,1.5,26.3,2006,47.75,-120.74
LeBron James,SF,22,CLE,78,78,40.9,9.9,20.8,0.476,1.3,4,0.319,8.6,16.8,0.513,0.507,6.3,9,0.698,1.1,5.7,6.7,6,1.6,0.7,3.2,2.2,27.3,2006,40.37,-82.99
Joe Johnson,SG,25,ATL,57,57,41.4,9.4,20,0.471,2.1,5.5,0.381,7.3,14.5,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2,25,2006,33.25,-83.44
